motif	estimatedScale	MSE	optimizedScale	optimizedMSE	motifLength	numberOfKmers
RORA(MA0071.1)	0.4236821949655832	0.9330087356184653	0.40368219496558316	0.003365913361788798	10.0	180347
RORA(MA0072.1)	0.36695995179554686	0.31591452395657327	0.35695995179554685	0.007271612723553642	13.0	180347
RUNX1	0.40420299026368356	0.11054859325465603	0.40920299026368356	0.007920632197013645	11.0	180347
FOXF2	0.3780507619832793	0.05139638406983746	0.3830507619832793	0.003620137692013958	13.0	180347
FOXD1	0.46401508495771615	0.0013564266932342185	0.46401508495771615	0.0013564266932342185	8.0	180347
IRF2	0.31489642626227077	0.0011349293597669916	0.31489642626227077	0.0011349293597669916	18.0	180347
MAX::MYC	0.34519204865064845	0.19974620896317943	0.35519204865064846	0.015858825682878556	11.0	180347
PPARG::RXRA	0.3001694471301052	0.06385865021233755	0.3051694471301052	0.016511329433898745	17.0	180347
PPARG	0.3067547793023948	0.256986922941388	0.3117547793023948	0.01729409372157319	20.0	180347
PAX6	0.32892294955608825	0.052364276343142065	0.33392294955608826	0.008246664653088666	14.0	180347
PBX1	0.41518067960023924	0.025218657118502557	0.41018067960023924	0.010077917996548943	11.0	180347
RREB1	0.24156170500908225	1.1775927071415795	0.25156170500908226	0.020192033880457313	20.0	180347
RXRA::VDR	0.2940752407314139	0.023065109145447994	0.2940752407314139	0.023065109145447994	15.0	180347
SOX9	0.5033664561348955	0.807604885092543	0.5283664561348955	0.00023634135068767488	9.0	180347
SRY	0.49115843520607216	0.36705107108265467	0.5061584352060722	0.003818883749244679	8.0	180347
TAL1::TCF3	0.3765398904553568	0.08001018173319946	0.3815398904553568	0.00013152439284429233	11.0	180347
REL	0.4169738898817199	0.07901040586003191	0.4219738898817199	0.0021630413516198553	10.0	180347
RELA	0.3561288107477927	0.05509802342706994	0.3611288107477927	0.0015652645803664288	10.0	180347
NR1H2::RXRA	0.2969789745252974	0.2571357296822578	0.2919789745252974	0.0070116635937430005	17.0	180347
NFIC::TLX1	0.3241758873559015	0.40824265034034296	0.33417588735590154	0.001540944504354439	14.0	180347
NKX3-1	0.47052449532596397	0.0025742783211748273	0.47052449532596397	0.0025742783211748273	7.0	180347
ZNF354C	0.5067784548358434	0.9163367347045445	0.48177845483584336	0.00293126977644616	6.0	180347
CTCF(MA0139.1)	0.2718474036748128	2.311111740877527	0.2918474036748128	0.00020060159704403036	19.0	180347
EWSR1-FLI1	0.24407656494702085	2.124237038206425	0.25907656494702086	0.011683540222252266	18.0	180347
REST	0.2719049357490033	0.2611336414626064	0.2769049357490033	0.007359148790190102	21.0	180347
NFE2L2	0.3938492975743172	0.10580254087807095	0.3888492975743172	0.002339214795488151	11.0	180347
NFATC2	0.5058610789201912	0.0054656453097670305	0.5058610789201912	0.0054656453097670305	7.0	180347
INSM1	0.3464618668730402	0.054023496318432146	0.3514618668730402	0.004928021550884259	12.0	180347
RARA::RXRA	0.3023782627536348	0.7609919021177859	0.3123782627536348	0.022957207137499356	17.0	180347
PLAG1	0.2836512845651042	0.4728933725357103	0.2936512845651042	0.0032667771500659894	14.0	180347
ARNT::HIF1A	0.4283378288528982	0.190848381278427	0.4383378288528982	3.6110660356531126e-06	8.0	180347
DUX4	0.38778997532153997	0.010887425113818015	0.38778997532153997	0.010887425113818015	11.0	180347
FOS(MA0476.1)	0.38157252627605176	0.0019936416569749345	0.38157252627605176	0.0019936416569749345	10.0	180347
FOSL2	0.386213665562657	0.07789320451260844	0.381213665562657	5.7618383225909024e-05	10.0	180347
FOXH1	0.4285946735495328	0.3956945799566527	0.4135946735495328	0.014774805215331399	11.0	180347
JUN(MA0488.1)	0.3872038998570235	0.04700718254030831	0.3822038998570235	0.0032990830578622926	11.0	180347
JUN(MA0489.1)	0.3533384359360106	0.08920193980276568	0.3583384359360106	5.595912582878161e-06	14.0	180347
JUND(MA0492.1)	0.339927708245514	0.14671680338692397	0.344927708245514	0.004784328708017639	13.0	180347
MEF2C	0.34258988323670786	3.170221802508251	0.37758988323670784	0.006216770201676209	14.0	180347
MAF::NFE2	0.35803524932943553	0.05999643452501312	0.35303524932943553	0.004857832058588895	15.0	180347
NR2C2(MA0504.1)	0.3078401039704063	0.9918065414846281	0.3228401039704063	0.0004234283278980343	14.0	180347
NRF1	0.28322475354698995	1.8236868037365388	0.30322475354698997	0.00470885461638171	11.0	180347
STAT1::STAT2	0.32405577654849704	0.9923374706456706	0.33905577654849706	0.0036264621130482227	15.0	180347
TCF7L2	0.37110902894390563	0.905131438469084	0.39110902894390565	0.01756465227773592	13.0	180347
ZBTB33	0.2696924733720557	3.8782993136898747	0.29969247337205573	0.021069145110915805	15.0	180347
AR	0.3693482508484486	0.22477988974955293	0.3793482508484486	0.012539381468776305	15.0	180347
ELK4	0.3907969055243025	0.0010688394663709072	0.3907969055243025	0.0010688394663709072	11.0	180347
ESR2	0.32938066197192234	0.6498250089511266	0.34438066197192235	0.02174222924183297	15.0	180347
IRF1	0.2756703522482351	6.746562043754901	0.31067035224823514	0.03230851475424397	20.0	180347
STAT1	0.3586736881579256	0.5683336784406827	0.3736736881579256	0.007241763474808973	11.0	180347
STAT3	0.3801372356503978	0.7345901628580559	0.3951372356503978	0.014234998434390075	11.0	180347
GATA1::TAL1	0.38221428835366217	0.036825204416937166	0.3872142883536622	0.009818707606854278	17.0	180347
YY1	0.3967163202529822	0.009297802640351812	0.3967163202529822	0.009297802640351812	12.0	180347
FOXP2	0.39679615656536343	0.003466682914315838	0.39679615656536343	0.003466682914315838	11.0	180347
SREBF1(MA0595.1)	0.3747976831837417	0.0026615743857340887	0.3747976831837417	0.0026615743857340887	10.0	180347
SREBF2(MA0596.1)	0.4020934784097114	0.135917449796293	0.3970934784097114	0.010977048673982862	10.0	180347
KLF5	0.3539503567400483	0.7679065736454396	0.36895035674004834	0.002381277571845848	10.0	180347
DMRT3	0.4472257763124639	0.06901169982606768	0.4422257763124639	0.000900376378511286	10.0	180347
FOXG1	0.43571667148412146	0.010690516406150525	0.43571667148412146	0.010690516406150525	8.0	180347
LBX1	0.4095927312287295	0.03186173838478917	0.4145927312287295	0.002965289985469564	8.0	180347
POU6F1(MA0628.1)	0.3346570835940958	4.071219594622365	0.3746570835940958	1.912541729500984e-05	10.0	180347
SHOX	0.460314571239349	1.4753808799860106	0.49531457123934897	8.221254813754245e-05	7.0	180347
ALX3	0.4457251159672022	1.2690113087443655	0.47572511596720224	0.0024779720450078292	8.0	180347
BARHL2	0.4596183197484617	1.154818415569469	0.4896183197484617	0.005305167477099571	8.0	180347
BHLHE41	0.33843342961062944	0.02825662934825236	0.34343342961062945	0.021631721626527194	10.0	180347
CREB3	0.3529458186636535	0.016390870091209157	0.3529458186636535	0.016390870091209157	13.0	180347
DBP	0.3214812926159204	0.3375284080769016	0.3314812926159204	0.0012845027248368692	10.0	180347
ELF4	0.3738983855473825	0.016031613549983875	0.3738983855473825	0.016031613549983875	12.0	180347
ELF5	0.4408822384595613	0.00046837476709933997	0.4408822384595613	0.00046837476709933997	10.0	180347
EN1	0.430976560457454	0.365711668345529	0.44597656045745404	0.0004591572683593444	8.0	180347
ETV6	0.40720263021799524	0.06705206550817602	0.41220263021799525	0.00026410413151919395	10.0	180347
FLI1	0.411382396589916	0.10516780772405517	0.406382396589916	0.004832285035856868	10.0	180347
FOXI1	0.46868041163036156	0.06518446372423546	0.46368041163036156	0.003514124156996666	7.0	180347
FOXL1	0.4681318051764648	0.04384375617732371	0.4631318051764648	0.00015429744727710618	7.0	180347
FOXO3	0.44881516536628946	0.023079662507196147	0.44381516536628945	0.0033104859619454913	8.0	180347
GCM1	0.38477787061280067	0.04370856175580318	0.38977787061280067	0.004384775862280848	11.0	180347
GRHL1	0.34963546038983706	1.1931173245130262	0.3696354603898371	7.077826294181815e-05	11.0	180347
GSC	0.414491902452812	0.9895132681455693	0.439491902452812	0.01257708879263021	9.0	180347
HEY2	0.3512616943390393	1.966836511785624	0.37626169433903933	0.010079433875004628	10.0	180347
HINFP	0.3383808309197573	1.6423332986246157	0.3583808309197573	0.02018293369837998	11.0	180347
HNF1A(MA0046.2)	0.3086487629359107	4.117835526622435	0.34364876293591073	0.0023593368213509452	13.0	180347
HNF1B	0.3086227909433633	2.8053275295661084	0.33862279094336334	0.008072638843499022	13.0	180347
HSF1	0.3414015338685864	0.00035208082585405637	0.3414015338685864	0.00035208082585405637	13.0	180347
IRF8	0.32720502282997127	0.17031269664532347	0.32220502282997127	0.0032123724739636264	14.0	180347
IRF9	0.3028163839702393	0.08426583147291966	0.2978163839702393	0.007208157865860767	15.0	180347
ISX	0.4458053592032317	0.2633262860376305	0.46080535920323173	0.009420221568537775	8.0	180347
JDP2(MA0655.1)	0.39018512059355626	0.017990795694725333	0.38518512059355625	0.014498746835298506	9.0	180347
JDP2(MA0656.1)	0.31732825903708606	0.011622655517862715	0.31732825903708606	0.011622655517862715	12.0	180347
KLF13	0.2868793103372614	0.8094697843555912	0.2968793103372614	0.00620839442985831	18.0	180347
LHX6	0.3055206670870155	4.234743671542796	0.34052066708701545	0.0052162662723781675	10.0	180347
MEF2B	0.3416461612432197	0.7661823447016555	0.35664616124321974	0.0005872591692370502	12.0	180347
MEOX1	0.3690529471775722	1.619871472948518	0.3940529471775722	0.007020039158903285	9.0	180347
MIXL1	0.4049015711333978	2.1144481348977373	0.4399015711333978	0.00035361729773686443	10.0	180347
MLX	0.3704469917802094	0.07379062999834207	0.3654469917802094	5.8845752656169475e-05	10.0	180347
MLXIPL	0.39659452310208937	0.020828759592902334	0.4015945231020894	0.011363962002404807	10.0	180347
MSC	0.3767020332467924	0.19645877265242068	0.3867020332467924	0.004752050236354574	10.0	180347
MYF6	0.3679045977902537	0.9636469205002144	0.3879045977902537	0.0010941625447866235	10.0	180347
NEUROD2(MA0668.1)	0.37001533469955467	0.6842883015963973	0.3850153346995547	0.004416350516736881	10.0	180347
NEUROG2(MA0669.1)	0.3383066853664821	0.3851421780358289	0.3483066853664821	0.00044531478523640664	10.0	180347
NFIA	0.4176411220507996	0.05724747713125091	0.4126411220507996	0.00030062507502782754	10.0	180347
NFIX(MA0671.1)	0.44152446249956956	0.9086480121041539	0.4665244624995696	0.009480589026379336	9.0	180347
NHLH1	0.360606940949223	0.5769402846679291	0.37560694094922303	0.0009625065761598893	10.0	180347
NKX2-3	0.4442838686848251	0.04787059730194937	0.4392838686848251	6.361474308523933e-05	9.0	180347
